protein_external_id	preferred_name	protein_size	annotation
287.DR97_1661	gatC	96	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C; Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln); Belongs to the GatC family
287.DR97_1662	gatA	484	Glutamyl-tRNA(Gln) amidotransferase subunit A; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)
287.DR97_1663	gatB	481	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B; Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln); Belongs to the GatB/GatE family. GatB subfamily
287.DR97_1664	DR97_1664	125	Endolytic peptidoglycan transglycosylase RlpA; Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides
287.DR97_1665	DR97_1665	128	annotation not available
287.DR97_1666	yfaP	263	Uncharacterized protein
287.DR97_1667	yfaQ	549	annotation not available
287.DR97_1668	DR97_1668	1516	annotation not available
287.DR97_1669	DR97_1669	216	Uncharacterized protein
287.DR97_167	pscG	115	type_III_yscG: type III secretion protein, YscG family
287.DR97_1670	DR97_1670	589	Uncharacterized protein
287.DR97_1671	DR97_1671	269	Uncharacterized protein
287.DR97_1672	regA	186	annotation not available
287.DR97_1673	roxS	422	annotation not available
287.DR97_1674	DR97_1674	236	Putative periplasmic/secreted protein
287.DR97_1675	dppA9	537	annotation not available
287.DR97_1676	dppA7	532	annotation not available
287.DR97_1677	pepQ	405	annotation not available
287.DR97_1678	puuR_1	187	annotation not available
287.DR97_1679	dppA5	533	annotation not available
287.DR97_168	eprI	85	EscF/YscF/HrpA family type III secretion system needle major subunit; III_needle: type III secretion apparatus needle protein
287.DR97_1680	opdD	478	annotation not available
287.DR97_1681	dppA3	531	annotation not available
287.DR97_1682	dppB	336	annotation not available
287.DR97_1683	dppC	303	annotation not available
287.DR97_1684	dppD	324	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding , C-terminal domain protein; Belongs to the ABC transporter superfamily
287.DR97_1685	dppF	323	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding , C-terminal domain protein; Belongs to the ABC transporter superfamily
287.DR97_1686	rhtB_2	210	annotation not available
287.DR97_1687	DR97_1687	157	annotation not available
287.DR97_1688	DR97_1688	309	Uncharacterized protein
287.DR97_1689	DR97_1689	225	annotation not available
287.DR97_169	pscE	67	annotation not available
287.DR97_1690	DR97_1690	251	UPF0271 protein CAZ10_20755; Belongs to the UPF0271 (lamB) family
287.DR97_1691	lpxO1	299	annotation not available
287.DR97_1692	piuB	850	annotation not available
287.DR97_1693	DR97_1693	753	Outer membrane receptor for iron transport; tonB-siderophor: TonB-dependent siderophore receptor family protein
287.DR97_1694	piuC	226	annotation not available
287.DR97_1695	DR97_1695	271	annotation not available
287.DR97_1696	cptA	600	annotation not available
287.DR97_1697	DR97_1697	141	annotation not available
287.DR97_1698	ldc	387	Pyridoxal-dependent decarboxylase, C-terminal sheet domain protein; Belongs to the Orn/Lys/Arg decarboxylase class-II family
287.DR97_1699	mcp4_2	673	annotation not available
287.DR97_17	yafC	295	annotation not available
287.DR97_170	yscD	432	type_III_yscD: type III secretion apparatus protein, YscD/HrpQ family
287.DR97_1700	ampE	278	annotation not available
287.DR97_1701	ampD	188	annotation not available
287.DR97_1702	DR97_1702	751	Thymidine phosphorylase
287.DR97_1703	nadC	282	nadC: nicotinate-nucleotide diphosphorylase; Belongs to the NadC/ModD family
287.DR97_1705	DR97_1705	392	annotation not available
287.DR97_1706	pilA	154	annotation not available
287.DR97_1707	pilB	566	type_IV_pilB: type IV-A pilus assembly ATPase PilB
287.DR97_1708	pilC	405	annotation not available
287.DR97_1709	pilD	290	Type 4 prepilin-like proteins leader peptide-processing enzyme; Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue
287.DR97_171	yscC	600	Yop proteins translocation protein C; type_III_yscC: type III secretion outer membrane pore, YscC/HrcC family
287.DR97_1710	coaE	203	Dephospho-CoA kinase; Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A; Belongs to the CoaE family
287.DR97_1711	yacG	66	DNA gyrase inhibitor YacG; Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C-terminal domain of GyrB, which probably disrupts DNA binding by the gyrase
287.DR97_1712	DR97_1712	69	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
287.DR97_1713	DR97_1713	229	annotation not available
287.DR97_1714	DR97_1714	156	FAD/FMN-containing dehydrogenase
287.DR97_1715	DR97_1715	141	annotation not available
287.DR97_1716	DR97_1716	209	Uncharacterized protein
287.DR97_1717	DR97_1717	149	annotation not available
287.DR97_1718	DR97_1718	56	DUF3094 domain-containing protein
287.DR97_1719	ndh	435	annotation not available
287.DR97_172	pscB	140	Type III export apparatus protein; type_III_yscB: type III secretion system chaperone, YscB family
287.DR97_1720	DR97_1720	352	annotation not available
287.DR97_1721	DR97_1721	541	annotation not available
287.DR97_1722	DR97_1722	1399	Large exoprotein; adhes_NPXG: filamentous hemagglutinin family N-terminal domain protein
287.DR97_1723	DR97_1723	288	annotation not available
287.DR97_1724	DR97_1724	245	Uncharacterized protein
287.DR97_1725	DR97_1725	163	Uncharacterized protein
287.DR97_1726	DR97_1726	220	Uncharacterized protein
287.DR97_1727	DR97_1727	227	annotation not available
287.DR97_1728	DR97_1728	233	Uncharacterized protein
287.DR97_1729	DR97_1729	235	annotation not available
287.DR97_173	exsD	276	annotation not available
287.DR97_1730	DR97_1730	72	Uncharacterized protein
287.DR97_1731	dnaB3	447	Replicative DNA helicase; Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins
287.DR97_1732	DR97_1732	206	Conserved hypothetical protein
287.DR97_1733	DR97_1733	61	Conserved hypothetical protein
287.DR97_1734	DR97_1734	175	Uncharacterized protein
287.DR97_1735	DR97_1735	85	Uncharacterized protein
287.DR97_1736	DR97_1736	79	Conserved hypothetical protein
287.DR97_1737	CP14	77	Uncharacterized protein
287.DR97_1738	DR97_1738	340	annotation not available
287.DR97_1739	DR97_1739	296	annotation not available
287.DR97_174	exsA	278	annotation not available
287.DR97_1740	DR97_1740	89	annotation not available
287.DR97_1741	DR97_1741	576	annotation not available
287.DR97_1742	DR97_1742	255	Uncharacterized protein
287.DR97_1743	DR97_1743	434	Uncharacterized protein
287.DR97_1744	DR97_1744	277	Conserved hypothetical protein
287.DR97_1745	DR97_1745	65	Uncharacterized protein
287.DR97_1746	DR97_1746	242	Integrating conjugative element protein, family
287.DR97_1747	DR97_1747	182	Uncharacterized protein
287.DR97_1748	DR97_1748	276	phage_pRha: phage regulatory , Rha family protein
287.DR97_1749	DR97_1749	152	annotation not available
287.DR97_175	exsB	137	Exoenzyme S synthesis protein B; yscW: type III secretion system chaperone YscW
287.DR97_1750	DR97_1750	639	DNA topoisomerase 1; Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA super [...] 
287.DR97_1751	CP28	69	annotation not available
287.DR97_1752	DR97_1752	629	Uncharacterized protein
287.DR97_1753	DR97_1753	658	Helicase; SNF2 family N-terminal domain protein
287.DR97_1754	hth	96	annotation not available
287.DR97_1755	relE	99	RelE
287.DR97_1756	DR97_1756	374	annotation not available
287.DR97_1757	DR97_1757	569	pilus_B_mal_scr: type IVB pilus formation outer membrane protein, R64 PilN family
287.DR97_1758	DR97_1758	441	annotation not available
287.DR97_1759	CP36	177	annotation not available
287.DR97_176	DR97_176	81	annotation not available
287.DR97_1760	DR97_1760	526	annotation not available
287.DR97_1761	DR97_1761	359	annotation not available
287.DR97_1762	DR97_1762	176	Type IV B pilus protein; pilS N terminal family protein
287.DR97_1763	DR97_1763	318	annotation not available
287.DR97_1764	DR97_1764	459	Pilus assembly protein PilV; Bacterial shufflon , N-terminal constant region family protein
287.DR97_1765	DR97_1765	145	annotation not available
287.DR97_1766	DR97_1766	188	Uncharacterized protein
287.DR97_1767	DR97_1767	59	annotation not available
287.DR97_1768	DR97_1768	44	annotation not available
287.DR97_1769	DR97_1769	162	Uncharacterized protein
287.DR97_177	exsC	145	annotation not available
287.DR97_1770	DR97_1770	52	Uncharacterized protein
287.DR97_1771	DR97_1771	65	Uncharacterized protein
287.DR97_1772	DR97_1772	237	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
287.DR97_1773	DR97_1773	116	Uncharacterized protein
287.DR97_1774	DR97_1774	210	Uncharacterized protein
287.DR97_1775	DR97_1775	91	Pathogenesis-related protein
287.DR97_1776	DR97_1776	120	Uncharacterized protein
287.DR97_1777	DR97_1777	86	Uncharacterized protein
287.DR97_1778	DR97_1778	201	Uncharacterized protein
287.DR97_1779	DR97_1779	481	annotation not available
287.DR97_178	pepD	295	annotation not available
287.DR97_1780	DR97_1780	218	annotation not available
287.DR97_1781	DR97_1781	227	Conserved hypothetical protein
287.DR97_1782	DR97_1782	124	Conserved hypothetical protein
287.DR97_1783	DR97_1783	197	Conserved hypothetical protein
287.DR97_1784	DR97_1784	198	annotation not available
287.DR97_1785	DR97_1785	107	annotation not available
287.DR97_1786	DR97_1786	232	annotation not available
287.DR97_1787	DR97_1787	90	annotation not available
287.DR97_1788	CP63	232	Methyl-accepting chemotaxis protein
287.DR97_1789	DR97_1789	251	annotation not available
287.DR97_179	yopB	390	annotation not available
287.DR97_1790	DR97_1790	193	Lytic transglycosylase
287.DR97_1791	DR97_1791	166	Integrating conjugative element , PFL_4695 family domain protein; ICE_PFL_4695: integrating conjugative element , PFL_4695 family domain protein
287.DR97_1792	DR97_1792	89	annotation not available
287.DR97_1793	DR97_1793	743	TraG/TraD family protein; conj_TOL_TraD: conjugative coupling factor TraD, PFGI-1 class
287.DR97_1794	DR97_1794	248	Uncharacterized protein
287.DR97_1795	DR97_1795	493	uvrD/REP helicase N-terminal domain protein
287.DR97_1796	DR97_1796	369	Conserved hypothetical protein
287.DR97_1797	tnpA	988	Transposase for transposon Tn501; Required for transposition of transposon Tn501
287.DR97_1798	DR97_1798	32	annotation not available
287.DR97_1799	tnpR	186	Transposon Tn501 resolvase; Resolvase catalyzes the resolution (a site-specific recombination) of the cointegrated replicon to yield the final transposition products
287.DR97_18	str	275	annotation not available
287.DR97_180	lcrH	168	lcrH_SycD: type III secretion low calcium response chaperone LcrH/SycD
287.DR97_1800	DR97_1800	202	annotation not available
287.DR97_1801	DR97_1801	144	Mercuric resistance operon regulatory protein; Mediates the mercuric-dependent induction of mercury resistance operon. In the absence of mercury MerR represses transcription by binding tightly to the mer operator region; when mercury is present the dimeric complex binds a single ion and becomes a potent transcriptional activator, while remaining bound to the mer site
287.DR97_1802	merT	116	Mercuric transport protein MerT; Involved in mercury resistance. Probably transfers a mercuric ion from the periplasmic Hg(2+)-binding protein MerP to the cytoplasmic mercuric reductase MerA (Probable); Belongs to the MerT family
287.DR97_1803	merP	91	Mercuric transport protein periplasmic component; Involved in mercury resistance. Acts as a mercury scavenger that specifically binds to a mercuric ion in the periplasm and probably passes it to the cytoplasmic mercuric reductase MerA via the mercuric transport protein MerT (Probable); Belongs to the MerP family
287.DR97_1804	DR97_1804	81	annotation not available
287.DR97_1805	merA	548	merA: mercuric reductase
287.DR97_1806	merD	121	merD: mercuric resistence transcriptional repressor protein MerD
287.DR97_1807	merE	78	annotation not available
287.DR97_1808	DR97_1808	204	Resolvase, N terminal domain protein
287.DR97_1809	DR97_1809	405	annotation not available
287.DR97_181	lcrV	294	annotation not available
287.DR97_1810	tniB	302	annotation not available
287.DR97_1811	DR97_1811	559	annotation not available
287.DR97_1812	DR97_1812	188	annotation not available
287.DR97_1813	DR97_1813	258	annotation not available
287.DR97_1814	DR97_1814	194	annotation not available
287.DR97_1815	DR97_1815	226	annotation not available
287.DR97_1816	DR97_1816	75	annotation not available
287.DR97_1817	DR97_1817	112	Candidate type III effector Hop protein
287.DR97_1818	DR97_1818	49	Conserved hypothetical protein
287.DR97_1819	DR97_1819	118	Uncharacterized protein
287.DR97_182	pcrG	98	lcrG_PcrG: type III secretion protein LcrG
287.DR97_1820	DR97_1820	128	TIGR03750 family conjugal transfer protein
287.DR97_1821	DR97_1821	219	Uncharacterized protein
287.DR97_1822	DR97_1822	294	Integrating conjugative element protein
287.DR97_1823	DR97_1823	501	Uncharacterized protein
287.DR97_1824	DR97_1824	147	annotation not available
287.DR97_1825	DR97_1825	980	Uncharacterized protein; Conjugative transfer ATPase, PFL_4706 family; traC_PFL_4706: conjugative transfer ATPase, PFL_4706 family
287.DR97_1826	DR97_1826	94	Uncharacterized protein
287.DR97_1827	DR97_1827	72	Uncharacterized protein
287.DR97_1828	DR97_1828	219	annotation not available
287.DR97_1829	DR97_1829	207	Conserved hypothetical protein
287.DR97_183	pcrR	144	lcrR: type III secretion system regulator LcrR
287.DR97_1830	DR97_1830	312	annotation not available
287.DR97_1831	DR97_1831	460	Integrating conjugative element protein, PFL_4711 family; conj_TIGR03755: integrating conjugative element protein, PFL_4711 family
287.DR97_1832	DR97_1832	115	annotation not available
287.DR97_1833	DR97_1833	504	traG-like , N-terminal region family protein
287.DR97_1834	DR97_1834	90	Uncharacterized protein
287.DR97_1835	DR97_1835	117	annotation not available
287.DR97_1836	DR97_1836	304	Uncharacterized protein
287.DR97_1837	DR97_1837	79	Conserved hypothetical protein
287.DR97_1838	DR97_1838	273	annotation not available
287.DR97_1839	DR97_1839	102	annotation not available
287.DR97_184	invA	706	hrcV: type III secretion , HrcV family protein
287.DR97_1840	DR97_1840	639	Relaxase; ICE_TraI_Pfluor: integrating conjugative element relaxase, PFGI-1 class
287.DR97_1841	DR97_1841	426	Putative tyrosine recombinase XerC; Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules; Belongs to the 'phage' integrase family
287.DR97_1845	clpB	854	Chaperone protein ClpB; Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE; Belongs to the ClpA/ClpB family
287.DR97_1846	yfiH_1	242	annotation not available
287.DR97_1847	rluD	320	Pseudouridine synthase; Responsible for synthesis of pseudouridine from uracil
287.DR97_1848	yfiO	341	Outer membrane protein assembly factor BamD; Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
287.DR97_1849	DR97_1849	81	Putative membrane protein
287.DR97_185	yscY	109	annotation not available
287.DR97_1850	pilS	530	annotation not available
287.DR97_1851	pilR	445	annotation not available
287.DR97_1852	thiO	364	Putative D-amino acid oxidase PA4548; thiamin_ThiO: glycine oxidase ThiO
287.DR97_1853	fimT	169	Type 4 fimbrial biogenesis protein FimT; IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain protein
287.DR97_1854	fimU	168	annotation not available
287.DR97_1855	pilV	185	Type 4 fimbrial biogenesis protein; type_IV_pilV: type IV pilus modification protein PilV
287.DR97_1856	pilW	274	Type 4 fimbrial biogenesis protein PilW; IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain protein
287.DR97_1857	pilX	195	Type 4 fimbrial biogenesis protein PilX; pilX N-terminal family protein
287.DR97_1858	pilY1	1163	annotation not available
287.DR97_1859	pilY2	115	annotation not available
287.DR97_186	pcr3	121	type_III_YscX: type III secretion protein, YscX family
287.DR97_1860	pilE	141	Type 4 fimbrial biogenesis protein PilE; IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain protein
287.DR97_1861	ispH	314	4-hydroxy-3-methylbut-2-enyl diphosphate reductase; Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP/MEP pathway for isoprenoid precursor biosynthesis; Belongs to the IspH family
287.DR97_1862	fkpB	146	annotation not available
287.DR97_1863	DR97_1863	169	Lipoprotein signal peptidase; This protein specifically catalyzes the removal of signal peptides from prolipoproteins; Belongs to the peptidase A8 family
287.DR97_1864	ileS	943	Isoleucine--tRNA ligase; Catalyzes the attachment of isoleucine to tRNA(Ile). As IleRS can inadvertently accommodate and process structurally similar amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)
287.DR97_1865	ribF	312	ribF: riboflavin biosynthesis protein RibF; Belongs to the ribF family
287.DR97_1866	mviN	498	Probable lipid II flippase MurJ; Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane
287.DR97_1867	rpsT	91	30S ribosomal protein S20; Binds directly to 16S ribosomal RNA
287.DR97_1868	creA	154	annotation not available
287.DR97_1869	proB	372	Glutamate 5-kinase; Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate
287.DR97_187	sycN	123	type_III_SycN: type III secretion chaperone SycN
287.DR97_1870	cgtA	406	GTPase Obg; An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control; Belongs to the TRAFAC class OBG-HflX-like GTPase superfamily. OBG GTPase family
287.DR97_1871	rpmA	85	L27: ribosomal protein L27; Belongs to the bacterial ribosomal protein bL27 family
287.DR97_1872	rplU	103	50S ribosomal protein L21; This protein binds to 23S rRNA in the presence of protein L20
287.DR97_1873	ispB	322	annotation not available
287.DR97_1874	DR97_1874	74	Uncharacterized protein
287.DR97_1875	DR97_1875	675	annotation not available
287.DR97_1876	fklB	205	annotation not available
287.DR97_1877	DR97_1877	101	Uncharacterized protein
287.DR97_1878	DR97_1878	162	UPF0114 protein PAMH19_3493
287.DR97_1879	DR97_1879	113	Conserved hypothetical protein
287.DR97_188	tyeA	92	annotation not available
287.DR97_1880	DR97_1880	817	Endopeptidase La; Lon protease (S16) C-terminal proteolytic domain protein; Belongs to the peptidase S16 family
287.DR97_1881	DR97_1881	108	annotation not available
287.DR97_1882	DR97_1882	162	Uncharacterized protein
287.DR97_1883	ybiA	184	Swarming motility protein YbiA; Ribofla_fusion: conserved hypothetical domain protein
287.DR97_1884	DR97_1884	610	Uncharacterized protein
287.DR97_1885	rtcR	531	annotation not available
287.DR97_1887	DR97_1887	381	annotation not available
287.DR97_1888	rtcB	404	annotation not available
287.DR97_1889	ycgL	270	annotation not available
287.DR97_189	yopN	288	Outer membrane protein yopN; lcrE: type III secretion regulator YopN/LcrE/InvE/MxiC
287.DR97_1890	rtcA	341	RNA 3'-terminal phosphate cyclase; Catalyzes the conversion of 3'-phosphate to a 2',3'- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps: (A) adenylation of the enzyme by ATP; (B) transfer of adenylate to an RNA-N3'P to produce RNA- N3'PP5'A; (C) and attack of the adjacent 2'-hydroxyl on the 3'- phosphorus in the diester linkage to produce the cyclic end product. The biological role of this enzyme is unknown but it is likely to function in some aspects of cellular RNA processing
287.DR97_1891	DR97_1891	125	annotation not available
287.DR97_1892	ccpA	346	annotation not available
287.DR97_1893	gdhA1	445	annotation not available
287.DR97_1894	DR97_1894	461	Putative outer membrane protein
287.DR97_1895	pra	162	annotation not available
287.DR97_1896	DR97_1896	425	HlyD family secretion protein; RND_mfp: efflux transporter, RND family, MFP subunit
287.DR97_1897	DR97_1897	493	annotation not available
287.DR97_1898	DR97_1898	397	annotation not available
287.DR97_1899	macB1	237	annotation not available
287.DR97_19	DR97_19	35	annotation not available
287.DR97_190	yscN	429	Putative ATP synthase YscN; III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase
287.DR97_1900	DR97_1900	554	Energy-dependent translational throttle protein EttA; ccmA: heme ABC exporter, ATP-binding protein CcmA
287.DR97_1901	DR97_1901	83	annotation not available
287.DR97_1902	nfxB3	172	annotation not available
287.DR97_1903	oprJ	479	annotation not available
287.DR97_1904	acrB	1043	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 family protein
287.DR97_1905	acrA	354	Acriflavine resistance protein A; RND_mfp: efflux transporter, RND family, MFP subunit; Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
287.DR97_1906	nfxb	187	annotation not available
287.DR97_1907	morA	1415	Motility regulator; GGDEF: diguanylate cyclase domain protein
287.DR97_1908	glyA2	417	Serine hydroxymethyltransferase; Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
287.DR97_1909	DR97_1909	124	Uncharacterized protein
287.DR97_191	pscO	158	annotation not available
287.DR97_1910	yjiA	334	Putative GTP-binding protein YjiA; Cobalamin synthesis cobW C-terminal domain protein
287.DR97_1911	DR97_1911	67	DUF466 domain-containing protein
